Name,Discounted_Price,Ratings,Discount_Percentage,No._of_Ratings_given,No.of_Reviews_given
Lenovo Ideapad,"₹27,990",4.1,18%,409,45
HP 14s,"₹36,990",4.2,7%,"3,684",403
HP 15s,"₹24,550",4,37%,943,117
acer Aspire,"₹55,990",4.5,26%,763,128
Lenovo Ideapad,"₹42,990",4.2,20%,"1,063",150
ASUS VivoBook,"₹49,990",4.5,11%,656,134
acer Aspire,"₹50,990",4.4,9%,424,55
DELL Inspiron,"₹39,940",3,42%,4,0
MSI GF63,"₹54,990",4.5,22%,"3,512",497
DELL Inspiron,"₹28,906",4.4,27%,16,4
acer Predator,"₹1,16,990",4.7,24%,20,7
Lenovo Ideapad,"₹59,990",4.5,8%,"1,141",171
Lenovo Legion,"₹66,990",4.6,35%,156,27
HP 15s,"₹34,990",4.3,34%,431,51
acer Aspire,"₹54,990",4.4,3%,"1,132",153
Lenovo Ideapad,"₹33,990",4.1,5%,617,88
HP 15s,"₹23,990",4,16%,398,35
Mi Notebook,"₹43,999",4.3,3%,"2,715",313
HP Pavilion,"₹49,990",4.4,8%,"1,267",144
ASUS VivoBook,"₹44,990",4.5,6%,37,9
HP Pavilion,"₹45,990",4.4,9%,315,38
DELL Vostro,"₹42,499",4.2,6%,181,25
ASUS Celeron,"₹21,990",3.9,22%,"6,361",831
ASUS Core,"₹51,990",4.3,8%,461,66
